estacionID,fecha,temp_media,tmax,tmin
CANQR,08/09/21 0:00,30,34,26
CHOQR,08/09/21 0:00,30.6,33.4,27.8
COZQR,08/09/21 0:00,31,36,26
FCRQR,08/09/21 0:00,28.05,34.5,21.6
PDCQR,08/09/21 0:00,28.5,34,23
BATQT,08/09/21 0:00,20.5,27,14
CARQT,08/09/21 0:00,23.5,31,16
CNSQT,08/09/21 0:00,20.5,26,15
EPUQT,08/09/21 0:00,17.5,21,14
GHQQT,08/09/21 0:00,20.5,26,15
IDFQT,08/09/21 0:00,15.5,19,12
JLPQT,08/09/21 0:00,24,30,18
JRQQT,08/09/21 0:00,19.5,26,13
OBSQT,08/09/21 0:00,20.6,26.4,14.9
PMLQT,08/09/21 0:00,23.5,30,17
SJSQT,08/09/21 0:00,19.7,25.5,14
ACTSI,08/09/21 0:00,29,33,25
AHMSI,08/09/21 0:00,30,36,24
AL2SI,08/09/21 0:00,25.75,31,20.5
ARCSI,08/09/21 0:00,30,35,25
AWSSI,08/09/21 0:00,26,29.5,22.5
BDRSI,08/09/21 0:00,27,31,23
CHXSI,08/09/21 0:00,29,34,24
CLCSI,08/09/21 0:00,28,32,24
CRRSI,08/09/21 0:00,32,40,24
DRDSI,08/09/21 0:00,30.5,37,24
EFTSI,08/09/21 0:00,30.5,36,25
GB2SI,08/09/21 0:00,28,33,23
GD2SI,08/09/21 0:00,27,32,22
GMCSI,08/09/21 0:00,29,35,23
GSVSI,08/09/21 0:00,29.75,35,24.5
HDZSI,08/09/21 0:00,29.75,35,24.5
IXPSI,08/09/21 0:00,29.75,36,23.5
JLPSI,08/09/21 0:00,26,31,21
JORSI,08/09/21 0:00,28,33,23
LCRSI,08/09/21 0:00,29.5,35,24
LD2SI,08/09/21 0:00,28.75,36,21.5
MCHSI,08/09/21 0:00,30.5,36,25
MZTSI,08/09/21 0:00,29.75,33,26.5
OBSSI,08/09/21 0:00,29.3,34.6,24
PMHSI,08/09/21 0:00,27.75,33.5,22
QLTSI,08/09/21 0:00,28.25,34,22.5
RAVSI,08/09/21 0:00,27.5,32,23
RSRSI,08/09/21 0:00,29,34,24
SCRSI,08/09/21 0:00,27,32,22
SFRSI,08/09/21 0:00,29.5,34,25
SJNSI,08/09/21 0:00,29,34,24
SLRSI,08/09/21 0:00,31,38,24
SLTSI,08/09/21 0:00,27,32,22
SN2SI,08/09/21 0:00,26,31,21
SQRSI,08/09/21 0:00,29,34.5,23.5
TBRSI,08/09/21 0:00,29,36.8,21.2
TORSI,08/09/21 0:00,29,33,25
VINSI,08/09/21 0:00,24.5,29,20
ZOPSI,08/09/21 0:00,29.25,33.5,25
AJTSL,08/09/21 0:00,28.6,34,23.3
BLMSL,08/09/21 0:00,29.5,35,24
CDVSL,08/09/21 0:00,28.5,34,23
CTSSL,08/09/21 0:00,24.5,32,17
GANSL,08/09/21 0:00,29.05,35.9,22.2
OCTSL,08/09/21 0:00,18.5,26,11
MATSL,08/09/21 0:00,23.5,32,15
MICSL,08/09/21 0:00,26.5,33,20
MTPSL,08/09/21 0:00,27.6,34,21.3
NRJSL,08/09/21 0:00,27.5,34,21
PMYSL,08/09/21 0:00,25.5,32,19
PUJSL,08/09/21 0:00,25,26,24
RQTSL,08/09/21 0:00,26.5,33,20
RVDSL,08/09/21 0:00,25.4,32,18.8
SDHSL,08/09/21 0:00,18,24,12
SLPSL,08/09/21 0:00,19.7,26,13.5
STRSL,08/09/21 0:00,30,37,23
TBLSL,08/09/21 0:00,27,33,21
TMISL,08/09/21 0:00,31,38,24
TMTSL,08/09/21 0:00,26.65,33.3,20
ACNSO,08/09/21 0:00,27.5,36,19
ALTSO,08/09/21 0:00,31.35,39.5,23.2
AOBSO,08/09/21 0:00,29,37,21
ARCSO,08/09/21 0:00,30,35,25
ARISO,08/09/21 0:00,20.5,30,11
ARZSO,08/09/21 0:00,23.25,34,12.5
CCRSO,08/09/21 0:00,28.75,35.5,22
CHTSO,08/09/21 0:00,27.25,37,17.5
CJNSO,08/09/21 0:00,28.25,37,19.5
CNNSO,08/09/21 0:00,25.25,33.5,17
COBSO,08/09/21 0:00,30,38,22
CZNSO,08/09/21 0:00,29.75,36.5,23
ECBSO,08/09/21 0:00,28.05,36.9,19.2
EPLSO,08/09/21 0:00,29.5,35.5,23.5
GYMSO,08/09/21 0:00,28.15,33.9,22.4
HM2SO,08/09/21 0:00,29.75,38,21.5
HMNSO,08/09/21 0:00,28.5,37,20
HSHSO,08/09/21 0:00,20.5,27,14
IMRSO,08/09/21 0:00,25.5,35,16
IRASO,08/09/21 0:00,28.25,35,21.5
LCDSO,08/09/21 0:00,28.95,37,20.9
NGLSO,08/09/21 0:00,26.05,32.2,19.9
NVJSO,08/09/21 0:00,30,36.5,23.5
NYNSO,08/09/21 0:00,32.25,40.5,24
PECSO,08/09/21 0:00,28.75,36.7,20.8
PMOSO,08/09/21 0:00,29,39,19
PT2SO,08/09/21 0:00,31.7,36.2,27.2
PTASO,08/09/21 0:00,28.25,35.5,21
PTQSO,08/09/21 0:00,30.5,39,22
QRBSO,08/09/21 0:00,27.5,37,18
SBNSO,08/09/21 0:00,28.25,34.5,22
SLCSO,08/09/21 0:00,34.5,41,28
SRSSO,08/09/21 0:00,31,38,24
TSOSO,08/09/21 0:00,25,32,18
VCMSO,08/09/21 0:00,26,30,22
YCRSO,08/09/21 0:00,24,32,16
BDCTB,08/09/21 0:00,26.5,30,23
CARTB,08/09/21 0:00,28,33,23
EMUTB,08/09/21 0:00,29.2,33.1,25.3
EPOTB,08/09/21 0:00,28,33,23
GONTB,08/09/21 0:00,28,33,23
MACTB,08/09/21 0:00,27.5,31.5,23.5
OXOTB,08/09/21 0:00,29.75,34.5,25
PNVTB,08/09/21 0:00,28,32,24
PUYTB,08/09/21 0:00,27,31.5,22.5
SAMTB,08/09/21 0:00,27.5,31,24
SJOCP,08/09/21 0:00,28,32,24
TAPTB,08/09/21 0:00,26.5,31,22
TEATB,08/09/21 0:00,28.5,34,23
APITL,08/09/21 0:00,16.5,23,10
CPPTL,08/09/21 0:00,13.5,18,9
CUATL,08/09/21 0:00,16.5,22,11
ECTTL,08/09/21 0:00,17.5,23,12
HMTTL,08/09/21 0:00,15.5,20,11
